stable_ref,paragraph_id,decision_id,action,start,end,suppressed_token
LDC.T06.1905-05-02.E001.P004,ldc_t06_1905_05_02_e001_p004,LEAD-00043,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T06.1905-08-25.E001.P009,ldc_t06_1905_08_25_e001_p009,LEAD-00044,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T07.1906-09-23.E001.P004,ldc_t07_1906_09_23_e001_p004,LEAD-00045,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T07.1906-10-20.E001.P003,ldc_t07_1906_10_20_e001_p003,LEAD-00046,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T08.1908-12-16.E001.P004,ldc_t08_1908_12_16_e001_p004,SVDR-004-OP01,EXACT_DISPLAY_REPLACEMENT,347,348,'-'
LDC.T08.1908-12-30.E001.P009,ldc_t08_1908_12_30_e001_p009,LEAD-00047,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.1909-05-20.E001.P007,ldc_t09_1909_05_20_e001_p007,LEAD-00048,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.1909-07-14.E001.P008,ldc_t09_1909_07_14_e001_p008,LEAD-00049,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.1909-10-01.E001.P007,ldc_t09_1909_10_01_e001_p007,LEAD-00050,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.1909-10-04.E001.P006,ldc_t09_1909_10_04_e001_p006,LEAD-00051,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.1909-10-14.E001.P007,ldc_t09_1909_10_14_e001_p007,LEAD-00052,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.1909-10-14.E001.P008,ldc_t09_1909_10_14_e001_p008,LEAD-00053,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.1909-11-04.E001.P011,ldc_t09_1909_11_04_e001_p011,LEAD-00054,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.1909-12-22.E001.P007,ldc_t09_1909_12_22_e001_p007,LEAD-00055,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.1910-07-04.E001.P007,ldc_t09_1910_07_04_e001_p007,LEAD-00056,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.1910-10-29.E001.P006,ldc_t09_1910_10_29_e001_p006,LEAD-00057,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T09.EDITORIAL.QUI_EST_LUISA.E001.P013,ldc_t09_editorial_qui_est_luisa_e001_p013,LEAD-00058,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T10.1910-11-12.E001.P005,ldc_t10_1910_11_12_e001_p005,LEAD-00059,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T11.1913-05-09.E001.P013,ldc_t11_1913_05_09_e001_p013,LEAD-00060,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T11.1914-03-08.E001.P010,ldc_t11_1914_03_08_e001_p010,LEAD-00061,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T11.1916-10-13.E001.P005,ldc_t11_1916_10_13_e001_p005,LEAD-00062,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1917-05-10.E001.P006,ldc_t12_1917_05_10_e001_p006,LEAD-00063,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1917-07-18.E001.P008,ldc_t12_1917_07_18_e001_p008,LEAD-00064,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1917-08-14.E001.P017,ldc_t12_1917_08_14_e001_p017,LEAD-00065,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1917-08-14.E001.P056,ldc_t12_1917_08_14_e001_p056,LEAD-00066,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1918-04-08.E001.P008,ldc_t12_1918_04_08_e001_p008,LEAD-00067,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1918-11-16.E001.P004,ldc_t12_1918_11_16_e001_p004,LEAD-00068,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1918-12-04.E001.P005,ldc_t12_1918_12_04_e001_p005,LEAD-00069,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1919-03-14.E001.P007,ldc_t12_1919_03_14_e001_p007,LEAD-00070,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1919-03-14.E001.P019,ldc_t12_1919_03_14_e001_p019,SPC-T12-1919-QUOTE,SUPPRESS_LAYOUT_MARKER,117,118,'-'
LDC.T12.1919-03-18.E001.P003,ldc_t12_1919_03_18_e001_p003,LEAD-00071,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1919-05-16.E001.P019,ldc_t12_1919_05_16_e001_p019,LEAD-00072,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1919-05-22.E001.P015,ldc_t12_1919_05_22_e001_p015,LEAD-00073,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T12.1919-05-24.E001.P008,ldc_t12_1919_05_24_e001_p008,LEAD-00074,SUPPRESS_LAYOUT_MARKER,0,2,'- '
