flow_id,entry_id,classification,member_index,paragraph_id,stable_ref,canonical_length,display_joiner,speech_run_policy,suppress_next_leading_ranges
FLOW.T22.P082-P084..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P083,LDC.T22.E0025.P083,45,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P082-P084..E0025,LDC.T22.E0025,inherited_dash_continuation,2,LDC.T22.E0025.P084,LDC.T22.E0025.P084,57,,,[]
FLOW.T22.P088-P089..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P088,LDC.T22.E0025.P088,74,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P088-P089..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P089,LDC.T22.E0025.P089,82,,,[]
FLOW.T22.P090-P091..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P090,LDC.T22.E0025.P090,110,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P090-P091..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P091,LDC.T22.E0025.P091,91,,,[]
FLOW.T22.P093-P096..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P093,LDC.T22.E0025.P093,49,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P093-P096..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P094,LDC.T22.E0025.P094,57,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P093-P096..E0025,LDC.T22.E0025,inherited_dash_continuation,2,LDC.T22.E0025.P095,LDC.T22.E0025.P095,20,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P093-P096..E0025,LDC.T22.E0025,inherited_dash_continuation,3,LDC.T22.E0025.P096,LDC.T22.E0025.P096,28,,,[]
FLOW.T22.P097-P100..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P097,LDC.T22.E0025.P097,24,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P097-P100..E0025,LDC.T22.E0025,inherited_dash_continuation,1,LDC.T22.E0025.P098,LDC.T22.E0025.P098,24,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P097-P100..E0025,LDC.T22.E0025,inherited_dash_continuation,2,LDC.T22.E0025.P099,LDC.T22.E0025.P099,19,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T22.P097-P100..E0025,LDC.T22.E0025,inherited_dash_continuation,3,LDC.T22.E0025.P100,LDC.T22.E0025.P100,41,,,[]
FLOW.T22.P103-P105..E0025,LDC.T22.E0025,inherited_dash_continuation,0,LDC.T22.E0025.P103,LDC.T22.E0025.P103,99,space,continue_same_speaker_only,"[[0, 2]]"
